epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.301,1.99844,5.81974,1.84844,0.1468,0.22654,0.08958,0.02761,0.33076,9.1085,0.338,0.0700726,0.00332526,0.00332526
2,403.887,2.06843,3.42192,1.93573,0.06259,0.12945,0.03609,0.00652,0.40859,2063.99,0.43276,0.0399408,0.00652676,0.00652676
3,602.921,2.24062,3.63276,2.05701,0.21772,0.19741,0.10646,0.02824,0.36874,86.4258,0.36959,0.00967696,0.00959625,0.00959625
4,801.976,2.35301,3.50235,2.20156,0.05266,0.08414,0.02037,0.0061,0.47761,85.7677,0.64672,0.009406,0.009406,0.009406
5,1002.25,2.25371,3.38849,2.08201,0.00678,0.38188,0.03899,0.00775,0.46579,8410.68,0.50287,0.009208,0.009208,0.009208
6,1200.18,2.13827,3.31218,1.97492,0.15792,0.1165,0.0548,0.0127,0.45593,30.3254,0.49727,0.00901,0.00901,0.00901
7,1393.16,2.16776,3.23099,2.00988,0.05379,0.46602,0.08107,0.03144,0.31192,0.5661,0.32218,0.008812,0.008812,0.008812
8,1588.46,2.13201,3.12821,1.99855,0.31655,0.20235,0.17132,0.06173,0.32558,1.00322,0.3423,0.008614,0.008614,0.008614
9,1783.86,2.03226,3.01845,1.93511,0.2039,0.20388,0.10684,0.02922,0.35095,3.48232,0.36383,0.008416,0.008416,0.008416
10,1985.28,2.07282,2.96881,1.92546,0.19866,0.18447,0.13715,0.03876,0.32041,16.6525,0.3392,0.008218,0.008218,0.008218
11,2183.51,1.9672,2.88443,1.82166,0.34408,0.39806,0.28253,0.10881,0.28929,2.61486,0.29759,0.00802,0.00802,0.00802
12,2379,1.99919,2.78838,1.86139,0.25172,0.30421,0.20394,0.07802,0.2873,1.72798,0.29944,0.007822,0.007822,0.007822
13,2575.53,1.96795,2.77113,1.83904,0.30368,0.30744,0.24207,0.09934,0.27303,1.56364,0.29079,0.007624,0.007624,0.007624
14,2769.44,1.9231,2.73469,1.81386,0.36894,0.35599,0.31733,0.12017,0.30394,0.57358,0.30556,0.007426,0.007426,0.007426
15,2964.31,1.88692,2.61463,1.73736,0.35231,0.34304,0.27149,0.11838,0.27604,0.65314,0.28965,0.007228,0.007228,0.007228
16,3160.74,1.9179,2.75165,1.76959,0.29725,0.39159,0.28475,0.10452,0.28028,3.0359,0.29421,0.00703,0.00703,0.00703
17,3357.62,1.97239,2.68824,1.79339,0.37511,0.36893,0.32099,0.13593,0.27525,0.55011,0.27956,0.006832,0.006832,0.006832
18,3553.7,1.86303,2.61437,1.75049,0.42955,0.48495,0.44905,0.18225,0.26004,2.85871,0.27287,0.006634,0.006634,0.006634
19,3748.76,1.85969,2.59542,1.70949,0.40398,0.42115,0.3954,0.16025,0.27454,0.65913,0.28311,0.006436,0.006436,0.006436
20,3945.97,1.85853,2.44459,1.7124,0.39619,0.40777,0.32809,0.10551,0.29742,24.5482,0.31241,0.006238,0.006238,0.006238
21,4141.6,1.85927,2.38886,1.73655,0.47222,0.46278,0.4713,0.18257,0.27394,1.65463,0.27709,0.00604,0.00604,0.00604
22,4338.44,1.85683,2.45657,1.71587,0.4521,0.53074,0.44909,0.16975,0.25883,10.748,0.27464,0.005842,0.005842,0.005842
23,4534.85,1.85855,2.48825,1.71133,0.41404,0.49838,0.45504,0.17621,0.26163,2.39453,0.27432,0.005644,0.005644,0.005644
24,4729.53,1.80115,2.40112,1.6761,0.33874,0.35599,0.29018,0.09884,0.29686,1.96933,0.30209,0.005446,0.005446,0.005446
25,4924.31,1.76133,2.39353,1.64833,0.6142,0.46278,0.51618,0.21875,0.25683,1.51872,0.27212,0.005248,0.005248,0.005248
26,5119.36,1.74591,2.31538,1.62486,0.55486,0.48407,0.50249,0.20035,0.26658,1.94847,0.27883,0.00505,0.00505,0.00505
27,5316.27,1.71875,2.2748,1.63066,0.55906,0.49838,0.51783,0.21135,0.2716,1.75528,0.28103,0.004852,0.004852,0.004852
28,5512.78,1.71585,2.28512,1.6044,0.49161,0.37864,0.39359,0.16843,0.26298,0.56484,0.27352,0.004654,0.004654,0.004654
29,5707.52,1.77606,2.22281,1.67601,0.60303,0.54369,0.56211,0.23774,0.2585,2.1536,0.26917,0.004456,0.004456,0.004456
30,5902.78,1.67638,2.20182,1.56599,0.5698,0.49838,0.52168,0.21775,0.2592,0.77145,0.27122,0.004258,0.004258,0.004258
31,6098.18,1.77026,2.22925,1.66554,0.56251,0.45955,0.49805,0.21246,0.2608,0.77179,0.26873,0.00406,0.00406,0.00406
32,6294.77,1.7031,2.14896,1.62371,0.56767,0.50162,0.5384,0.23245,0.26338,1.57956,0.27528,0.003862,0.003862,0.003862
33,6492.19,1.74484,2.07221,1.63728,0.62703,0.50485,0.52842,0.23004,0.25016,0.82035,0.26286,0.003664,0.003664,0.003664
34,6684.92,1.68553,2.07293,1.61865,0.62723,0.5178,0.56287,0.24136,0.25596,1.32349,0.26446,0.003466,0.003466,0.003466
35,6877.4,1.69625,2.11324,1.61216,0.63761,0.5534,0.56084,0.23042,0.25009,1.71963,0.25748,0.003268,0.003268,0.003268
36,7069.32,1.71935,2.09397,1.59786,0.63892,0.53255,0.58405,0.24619,0.25635,0.85566,0.26726,0.00307,0.00307,0.00307
37,7261.15,1.70065,2.06593,1.58221,0.65815,0.59871,0.62982,0.26431,0.25875,1.79056,0.26788,0.002872,0.002872,0.002872
38,7453.88,1.71486,1.96741,1.60099,0.64885,0.56311,0.61434,0.27868,0.24537,1.53044,0.25715,0.002674,0.002674,0.002674
39,7645.66,1.62358,1.9391,1.52815,0.71153,0.56675,0.63278,0.26703,0.25567,1.49655,0.26687,0.002476,0.002476,0.002476
40,7837.33,1.62958,1.96942,1.53407,0.65383,0.61489,0.64789,0.29232,0.24907,0.74408,0.25822,0.002278,0.002278,0.002278
41,8060.37,1.38226,1.5276,1.39428,0.71229,0.56958,0.62283,0.28199,0.24954,0.68079,0.25899,0.00208,0.00208,0.00208
42,8250.54,1.3828,1.50957,1.41414,0.68337,0.57929,0.63435,0.26978,0.25001,1.51718,0.26341,0.001882,0.001882,0.001882
43,8448.78,1.36235,1.56328,1.40224,0.73413,0.61489,0.64931,0.2868,0.24485,1.01089,0.25654,0.001684,0.001684,0.001684
44,8643.48,1.34062,1.51829,1.38827,0.64493,0.59958,0.64236,0.28961,0.24284,0.82599,0.25548,0.001486,0.001486,0.001486
45,8832.6,1.33562,1.44961,1.39465,0.68021,0.59223,0.65555,0.2988,0.24998,0.58443,0.26058,0.001288,0.001288,0.001288
46,9021.72,1.31572,1.41397,1.33999,0.69402,0.60518,0.65879,0.29664,0.24632,0.73945,0.25559,0.00109,0.00109,0.00109
47,9210.9,1.3047,1.36532,1.34373,0.70344,0.65049,0.68812,0.31837,0.25015,0.83326,0.25834,0.000892,0.000892,0.000892
48,9401.81,1.31289,1.41049,1.36454,0.72493,0.6246,0.67829,0.31304,0.2462,0.77771,0.25649,0.000694,0.000694,0.000694
49,9592.39,1.24011,1.28657,1.29018,0.69074,0.63609,0.69472,0.31823,0.25146,0.74401,0.25913,0.000496,0.000496,0.000496
50,9784.42,1.32206,1.32147,1.37099,0.70742,0.64078,0.69085,0.31806,0.25018,0.75303,0.25859,0.000298,0.000298,0.000298
