epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.7886,0.85357,0.83153,1,0.51127,0.00331865,0.00331865,0.00331865
2,64.0514,0.48106,0.84125,1,0.37729,0.00658613,0.00658613,0.00658613
3,91.9005,0.39331,0.87365,1,0.31146,0.00978761,0.00978761,0.00978761
4,119.359,0.36809,0.82775,1,0.45308,0.009703,0.009703,0.009703
5,147.296,0.34744,0.90659,1,0.19023,0.009604,0.009604,0.009604
6,174.933,0.29918,0.88553,1,0.28668,0.009505,0.009505,0.009505
7,202.723,0.27184,0.87365,1,0.30177,0.009406,0.009406,0.009406
8,230.418,0.25867,0.85205,1,0.3951,0.009307,0.009307,0.009307
9,258.933,0.23923,0.91685,1,0.16748,0.009208,0.009208,0.009208
10,288.69,0.2267,0.91631,1,0.17278,0.009109,0.009109,0.009109
11,316.885,0.20675,0.90875,1,0.20674,0.00901,0.00901,0.00901
12,344.459,0.20154,0.93521,1,0.1366,0.008911,0.008911,0.008911
13,375.099,0.20923,0.85853,1,0.37074,0.008812,0.008812,0.008812
14,404.61,0.19877,0.93467,1,0.15497,0.008713,0.008713,0.008713
15,434.827,0.19091,0.89525,1,0.24677,0.008614,0.008614,0.008614
16,464.193,0.18704,0.93629,1,0.14544,0.008515,0.008515,0.008515
17,494.196,0.17934,0.9379,1,0.1433,0.008416,0.008416,0.008416
18,522.109,0.16074,0.92063,1,0.20893,0.008317,0.008317,0.008317
19,549.527,0.16709,0.93413,1,0.15665,0.008218,0.008218,0.008218
20,578.119,0.1613,0.9379,1,0.16125,0.008119,0.008119,0.008119
21,606.177,0.15417,0.94762,1,0.1285,0.00802,0.00802,0.00802
22,636.153,0.16954,0.92927,1,0.17488,0.007921,0.007921,0.007921
23,678.136,0.15482,0.91955,1,0.20569,0.007822,0.007822,0.007822
24,712.328,0.14521,0.95356,1,0.11407,0.007723,0.007723,0.007723
25,744.645,0.15044,0.95194,1,0.12343,0.007624,0.007624,0.007624
26,775.877,0.13405,0.9379,1,0.16815,0.007525,0.007525,0.007525
27,806.822,0.14113,0.94168,1,0.14158,0.007426,0.007426,0.007426
28,836.675,0.13423,0.9568,1,0.10774,0.007327,0.007327,0.007327
29,866.866,0.13267,0.95788,1,0.1042,0.007228,0.007228,0.007228
30,896.64,0.12364,0.95194,1,0.12416,0.007129,0.007129,0.007129
31,926.894,0.12208,0.96058,1,0.10268,0.00703,0.00703,0.00703
32,956.475,0.11753,0.94546,1,0.13462,0.006931,0.006931,0.006931
33,986.057,0.12217,0.9541,1,0.12613,0.006832,0.006832,0.006832
