epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.366,1.99559,4.78345,1.92594,0.08653,0.15287,0.04923,0.015,1.60546,24.1073,1.44553,0.000551112,0.000551112,0.000551112
2,214.606,1.97273,3.78657,1.7999,0.03259,0.12011,0.02522,0.00773,1.68826,114.98,1.57315,0.00109582,0.00109582,0.00109582
3,317.911,2.06714,3.34981,1.84895,0.10298,0.22099,0.07415,0.02,1.49833,48.9563,1.5367,0.00162953,0.00162953,0.00162953
4,416.082,2.03334,3.12336,1.79071,0.10502,0.1921,0.06288,0.01883,1.48395,7.99631,1.34805,0.00161749,0.00161749,0.00161749
5,516.036,2.02366,2.9969,1.77406,0.0964,0.31881,0.14231,0.05516,1.42995,7.78795,1.23794,0.00160099,0.00160099,0.00160099
6,621.544,1.9597,2.85123,1.73402,0.59301,0.2515,0.13642,0.04433,1.40894,13.5935,1.29771,0.00158448,0.00158448,0.00158448
7,726.745,1.96798,2.82943,1.7711,0.17907,0.24165,0.13576,0.06158,1.42911,3.03353,1.22594,0.00156798,0.00156798,0.00156798
8,830.276,1.91358,2.73288,1.68522,0.11996,0.31955,0.1729,0.06806,1.30711,12.5637,1.17758,0.00155148,0.00155148,0.00155148
9,928.131,1.9074,2.71936,1.68219,0.17339,0.40835,0.18641,0.07418,1.34234,8.13792,1.13876,0.00153497,0.00153497,0.00153497
10,1029.15,1.8579,2.65198,1.63518,0.17415,0.40079,0.14569,0.05614,1.43894,8.55009,1.2141,0.00151847,0.00151847,0.00151847
11,1129.93,1.87975,2.66657,1.67462,0.16836,0.35452,0.12605,0.04897,1.35701,2.97178,1.16207,0.00150197,0.00150197,0.00150197
