epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.459,1.64512,3.9803,1.47836,0.47921,0.2293,0.26092,0.08143,0.27138,1.3789,0.29447,0.0700364,0.00332929,0.00332929
2,454.07,1.64571,2.78196,1.49111,0.28857,0.23625,0.16601,0.0515,0.28793,0.70566,0.289,0.0399704,0.00659667,0.00659667
3,675.483,1.75906,2.84694,1.58902,0.13843,0.23301,0.09188,0.02862,0.29921,1.71723,0.30101,0.00983844,0.00979804,0.00979804
4,893.529,1.85684,2.86277,1.6619,0.38889,0.02265,0.20551,0.09168,0.27803,0.63347,0.28677,0.009703,0.009703,0.009703
5,1112.82,1.81399,2.78987,1.64536,0.22198,0.11974,0.08028,0.02723,0.33239,0.57154,0.37712,0.009604,0.009604,0.009604
6,1334.27,1.78692,2.65377,1.61803,0.23467,0.27832,0.16239,0.05693,0.28248,2.13709,0.28678,0.009505,0.009505,0.009505
7,1553.36,1.64598,2.44774,1.51107,0.32702,0.23625,0.19744,0.0699,0.29172,0.49605,0.29968,0.009406,0.009406,0.009406
8,1777.6,1.76505,2.54691,1.57381,0.35681,0.33981,0.2786,0.09538,0.26772,9.04273,0.27756,0.009307,0.009307,0.009307
9,1997.71,1.634,2.42407,1.51508,0.32072,0.35275,0.24872,0.09223,0.25309,0.75426,0.26285,0.009208,0.009208,0.009208
10,2217.58,1.58286,2.32922,1.46162,0.28225,0.36893,0.25146,0.10045,0.2457,1.24167,0.25614,0.009109,0.009109,0.009109
11,2438.65,1.72071,2.45648,1.53727,0.33885,0.36246,0.27747,0.10782,0.24727,1.00675,0.25815,0.00901,0.00901,0.00901
12,2659.32,1.57969,2.32308,1.4188,0.25333,0.41748,0.21678,0.06954,0.27284,5.34393,0.28962,0.008911,0.008911,0.008911
13,2880.6,1.62225,2.31785,1.48896,0.35991,0.32362,0.26724,0.09445,0.25423,7.10876,0.26258,0.008812,0.008812,0.008812
14,3100.37,1.6058,2.26146,1.44978,0.28482,0.38188,0.26167,0.09899,0.24502,0.84489,0.25344,0.008713,0.008713,0.008713
15,3319.19,1.45606,2.12562,1.34068,0.20832,0.50499,0.27357,0.11539,0.23824,1.46126,0.24469,0.008614,0.008614,0.008614
16,3539.59,1.59108,2.22581,1.44412,0.39005,0.32078,0.27476,0.10573,0.24748,0.98803,0.25655,0.008515,0.008515,0.008515
17,3758.32,1.48448,2.09062,1.3303,0.35306,0.39739,0.33429,0.13761,0.236,0.73586,0.24239,0.008416,0.008416,0.008416
18,3977.59,1.50696,2.10427,1.36451,0.36751,0.39806,0.35767,0.14515,0.23442,0.66851,0.2446,0.008317,0.008317,0.008317
19,4196.66,1.4661,2.07875,1.3506,0.37898,0.43647,0.34746,0.14807,0.2327,0.44077,0.2422,0.008218,0.008218,0.008218
20,4416.88,1.49624,2.09318,1.35434,0.42793,0.42395,0.37589,0.14026,0.23456,2.43714,0.24588,0.008119,0.008119,0.008119
21,4636.41,1.52753,2.08388,1.36234,0.5498,0.45631,0.47956,0.18899,0.23684,1.10844,0.24586,0.00802,0.00802,0.00802
22,4855.54,1.46105,1.98626,1.3318,0.38845,0.49191,0.37463,0.14147,0.23292,0.89981,0.24367,0.007921,0.007921,0.007921
23,5075.6,1.52767,1.98394,1.37339,0.50924,0.4822,0.43793,0.16447,0.23275,1.00217,0.24155,0.007822,0.007822,0.007822
24,5296.24,1.50451,2.00882,1.36109,0.41778,0.50809,0.4612,0.16276,0.23593,1.87002,0.24345,0.007723,0.007723,0.007723
25,5515.8,1.46037,1.98317,1.33481,0.46638,0.44123,0.44793,0.1634,0.24525,0.74342,0.25356,0.007624,0.007624,0.007624
26,5735.85,1.53136,2.06044,1.37625,0.48556,0.41237,0.41864,0.16375,0.23402,0.43721,0.24366,0.007525,0.007525,0.007525
27,5955.24,1.45776,1.94992,1.3148,0.45476,0.411,0.42838,0.16445,0.23647,0.5843,0.24357,0.007426,0.007426,0.007426
28,6174.36,1.46647,1.92917,1.28598,0.51997,0.4822,0.48778,0.18327,0.2345,0.72815,0.24434,0.007327,0.007327,0.007327
29,6393.17,1.47947,1.9525,1.32904,0.44151,0.43689,0.3983,0.16933,0.22786,0.37689,0.23463,0.007228,0.007228,0.007228
30,6612.09,1.45776,1.92666,1.29892,0.51467,0.49191,0.47255,0.191,0.22371,0.44708,0.23335,0.007129,0.007129,0.007129
31,6832.16,1.4938,2.05188,1.35487,0.55055,0.45955,0.47812,0.18047,0.23119,0.62309,0.24208,0.00703,0.00703,0.00703
32,7051.73,1.46115,1.89277,1.35102,0.56281,0.52427,0.51465,0.21952,0.23359,0.48329,0.23754,0.006931,0.006931,0.006931
33,7270.88,1.43953,1.92495,1.30468,0.55419,0.56634,0.55009,0.21993,0.21942,0.75485,0.23159,0.006832,0.006832,0.006832
34,7489.49,1.3637,1.79366,1.25634,0.5779,0.52427,0.5216,0.19686,0.22926,0.97214,0.23469,0.006733,0.006733,0.006733
35,7708.24,1.41956,1.82064,1.29072,0.55348,0.52427,0.50338,0.21603,0.2128,0.44432,0.22563,0.006634,0.006634,0.006634
36,7927.29,1.38911,1.82852,1.28098,0.55962,0.5223,0.5462,0.23529,0.21737,0.5008,0.22632,0.006535,0.006535,0.006535
37,8145.83,1.37805,1.79852,1.26274,0.57627,0.53074,0.52649,0.22347,0.22362,0.44148,0.23267,0.006436,0.006436,0.006436
